CLIENTEID,CODMARCA,DESCDISTRI,DESCDIMES
01658,099,14.0,12.0
01658,100,14.0,12.0
01658,109,12.0,15.0
01659,098,12.0,15.0
01659,099,14.0,12.0
01659,100,14.0,12.0
01659,109,12.0,15.0
01660,098,12.0,15.0
01660,099,14.0,12.0
01660,100,14.0,12.0
01660,109,12.0,15.0
01661,098,12.0,15.0
01661,099,14.0,12.0
01661,100,14.0,12.0
01661,109,12.0,15.0
06956,099,14.0,12.0
01662,098,12.0,15.0
01662,099,14.0,12.0
01662,100,14.0,12.0
01662,109,12.0,15.0
01664,098,12.0,15.0
01664,099,14.0,12.0
01664,100,14.0,12.0
01664,109,12.0,15.0
03694,100,14.0,12.0
01665,098,12.0,15.0
01665,099,14.0,12.0
01665,100,14.0,12.0
00108,002,12.0,14.0
00109,002,12.0,14.0
02420,053,12.0,10.0
01665,109,12.0,15.0
01666,098,12.0,15.0
01666,099,14.0,12.0
01666,100,14.0,12.0
00111,002,12.0,14.0
00113,002,12.0,14.0
00118,002,12.0,14.0
00119,002,12.0,14.0
00126,002,12.0,14.0
00133,002,12.0,14.0
00135,002,12.0,14.0
00136,002,12.0,14.0
00140,002,12.0,14.0
00145,002,12.0,14.0
00147,002,12.0,14.0
06506,105,14.0,12.0
06506,109,12.0,15.0
01666,109,12.0,15.0
01667,098,12.0,15.0
01667,099,14.0,12.0
01667,100,14.0,12.0
01667,109,12.0,15.0
01668,098,12.0,15.0
01668,099,14.0,12.0
01668,100,14.0,12.0
01668,109,12.0,15.0
01669,098,12.0,15.0
01669,099,14.0,12.0
01669,100,14.0,12.0
01669,109,12.0,15.0
03103,109,12.0,15.0
01672,098,12.0,15.0
01672,099,14.0,12.0
01672,100,14.0,12.0
06506,098,12.0,15.0
06506,104,14.0,12.0
01672,109,12.0,15.0
01673,098,12.0,15.0
01673,099,14.0,12.0
06506,099,14.0,12.0
06506,100,14.0,12.0
06956,100,14.0,12.0
02129,019,8.0,0.0
01673,100,14.0,12.0
03160,002,10.0,14.0
03160,017,6.0,14.0
01673,109,12.0,15.0
01674,098,12.0,15.0
01674,099,14.0,12.0
01674,100,14.0,12.0
07230,053,12.0,10.0
01674,109,12.0,15.0
01675,098,12.0,15.0
01675,099,14.0,12.0
01675,100,14.0,12.0
07285,019,8.0,0.0
03160,109,12.0,15.0
03160,098,12.0,15.0
03160,099,14.0,12.0
03160,097,12.0,15.0
03160,100,14.0,12.0
01675,109,12.0,15.0
01676,098,12.0,15.0
01676,099,14.0,12.0
01676,100,14.0,12.0
03160,111,11.0,12.0
03160,049,11.0,12.0
01676,109,12.0,15.0
07165,105,14.0,12.0
07165,109,12.0,15.0
07165,098,12.0,15.0
02521,002,12.0,14.0
00153,002,12.0,14.0
02522,002,12.0,14.0
02524,002,12.0,14.0
00154,002,12.0,14.0
00157,002,12.0,14.0
00160,002,12.0,14.0
00163,002,12.0,14.0
07165,104,14.0,12.0
07165,099,14.0,12.0
07165,100,14.0,12.0
00164,002,12.0,14.0
00165,002,12.0,14.0
00168,002,12.0,14.0
00169,002,12.0,14.0
00173,002,12.0,14.0
06956,111,12.0,11.0
06956,049,12.0,11.0
06956,053,12.0,10.0
07280,002,14.0,0.0
07280,019,8.0,0.0
07280,118,10.0,0.0
07280,119,10.0,0.0
07280,117,10.0,0.0
07280,105,14.0,0.0
07280,109,12.0,0.0
07280,103,12.0,0.0
07280,101,12.0,0.0
00175,002,12.0,14.0
00176,002,12.0,14.0
00177,002,12.0,14.0
00178,002,12.0,14.0
00179,002,12.0,14.0
00181,002,12.0,14.0
00182,002,12.0,14.0
00186,002,12.0,14.0
07280,098,12.0,0.0
02399,019,8.0,0.0
07280,104,14.0,0.0
07280,102,12.0,0.0
07280,116,12.0,0.0
07280,099,14.0,0.0
07280,097,12.0,0.0
07280,096,12.0,0.0
